timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2024-10-31T00:00:00.000Z";"2024-10-31T23:59:59.999Z";"2024-10-31T00:31:00.000Z";"2024-10-31T20:55:00.000Z";"2781";1.8236956157;1.8237659399;1.7458370291;1.7625395041;20901167.63;487083101.53;"2024-10-31T23:59:59.999Z"
"2024-10-30T00:00:00.000Z";"2024-10-30T23:59:59.999Z";"2024-10-30T00:10:00.000Z";"2024-10-30T12:07:00.000Z";"2781";1.8348978893;1.8404255446;1.7993397209;1.8236970435;21506713.86;503415630.87;"2024-10-30T23:59:59.999Z"
"2024-10-29T00:00:00.000Z";"2024-10-29T23:59:59.999Z";"2024-10-29T17:38:00.000Z";"2024-10-29T00:01:00.000Z";"2781";1.8028456607;1.8643822321;1.8024830233;1.8348978893;26333053.99;506224338.27;"2024-10-29T23:59:59.999Z"
"2024-10-28T00:00:00.000Z";"2024-10-28T23:59:59.999Z";"2024-10-28T22:11:00.000Z";"2024-10-28T05:37:00.000Z";"2781";1.7730702316;1.8134519656;1.7484727055;1.8028456607;22034545.87;497267133.49;"2024-10-28T23:59:59.999Z"
"2024-10-27T00:00:00.000Z";"2024-10-27T23:59:59.999Z";"2024-10-27T16:16:00.000Z";"2024-10-27T11:01:00.000Z";"2781";1.760250423;1.7881229815;1.7474897803;1.7730702316;14170779.29;499074855.46;"2024-10-27T23:59:59.999Z"
"2024-10-26T00:00:00.000Z";"2024-10-26T23:59:59.999Z";"2024-10-26T09:28:00.000Z";"2024-10-26T00:17:00.000Z";"2781";1.7579745678;1.783374637;1.7403560495;1.760250423;22181192.97;495166935.41;"2024-10-26T23:59:59.999Z"
"2024-10-25T00:00:00.000Z";"2024-10-25T23:59:59.999Z";"2024-10-25T03:10:00.000Z";"2024-10-25T23:26:00.000Z";"2781";1.8822192085;1.9143426775;1.7287330168;1.7579745678;43344292.67;494432717.72;"2024-10-25T23:59:59.999Z"
"2024-10-24T00:00:00.000Z";"2024-10-24T23:59:59.999Z";"2024-10-24T21:28:00.000Z";"2024-10-24T09:07:00.000Z";"2781";1.848412839;1.8907954262;1.8258374462;1.8822192155;23268343.49;518750011.94;"2024-10-24T23:59:59.999Z"
"2024-10-23T00:00:00.000Z";"2024-10-23T23:59:59.999Z";"2024-10-23T00:11:00.000Z";"2024-10-23T18:08:00.000Z";"2781";1.8943804181;1.8968589019;1.7812163505;1.8334134673;30859734.48;505023624.95;"2024-10-23T23:59:59.999Z"
"2024-10-22T00:00:00.000Z";"2024-10-22T23:59:59.999Z";"2024-10-22T06:47:00.000Z";"2024-10-22T17:03:00.000Z";"2781";1.9205126102;1.9409918269;1.8852865137;1.8943804181;29553832.76;521718911.98;"2024-10-22T23:59:59.999Z"
"2024-10-21T00:00:00.000Z";"2024-10-21T23:59:59.999Z";"2024-10-21T06:37:00.000Z";"2024-10-21T16:34:00.000Z";"2781";1.9783258841;2.0122378559;1.906104357;1.9205126102;44475933.36;528661928.42;"2024-10-21T23:59:59.999Z"
"2024-10-20T00:00:00.000Z";"2024-10-20T23:59:59.999Z";"2024-10-20T23:59:00.000Z";"2024-10-20T03:32:00.000Z";"2781";1.8654644183;1.9783149395;1.8402950544;1.9781685368;35667607.32;544577275.54;"2024-10-20T23:59:59.999Z"
"2024-10-19T00:00:00.000Z";"2024-10-19T23:59:59.999Z";"2024-10-19T09:17:00.000Z";"2024-10-19T18:14:00.000Z";"2781";1.8618940508;1.8874722473;1.8385548477;1.8654644183;17482494.99;513162528.74;"2024-10-19T23:59:59.999Z"
"2024-10-18T00:00:00.000Z";"2024-10-18T23:59:59.999Z";"2024-10-18T19:08:00.000Z";"2024-10-18T00:22:00.000Z";"2781";1.8084906117;1.8664306658;1.8064758854;1.8616740298;19949299.16;512111702.73;"2024-10-18T23:59:59.999Z"
"2024-10-17T00:00:00.000Z";"2024-10-17T23:59:59.999Z";"2024-10-17T02:01:00.000Z";"2024-10-17T18:18:00.000Z";"2781";1.8586056058;1.8702465567;1.7808116148;1.8084906117;19164922.52;497132257.6;"2024-10-17T23:59:59.999Z"
